Rank,State_UT,2011,2001,1991,1981,1971,1961,1951,1941,1931,1921,1911,1901
1,Uttar Pradesh,199812341.0,166197921.0,132061653.0,110862512.0,88341521.0,73754573.0,60273743.0,56535170.0,49779552.0,46672411.0,48154921.0,48627670.0
2,Maharashtra,112374333.0,96878627.0,78937187.0,62782818.0,50412235.0,39553718.0,32002564.0,26832758.0,23959300.0,20849666.0,21474523.0,19391643.0
3,Bihar,104099452.0,82998509.0,64530554.0,69914734.0,56353369.0,46447457.0,29085017.0,35170840.0,31347108.0,28126675.0,28314281.0,27311865.0
4,West Bengal,91276115.0,80176197.0,68077965.0,54580647.0,44312011.0,34926279.0,26299980.0,23229552.0,18897036.0,17474348.0,17998769.0,16940088.0
5,Andhra Pradesh,84580777.0,76210007.0,66508008.0,53551026.0,43502708.0,35983447.0,31115259.0,27289340.0,24203573.0,21420448.0,21447412.0,19065921.0
6,Madhya Pradesh,72626809.0,60348023.0,48566242.0,52178844.0,41654119.0,32372408.0,18614931.0,23990608.0,21355657.0,19171750.0,19440965.0,16860768.0
7,Tamil Nadu,72147030.0,62405679.0,55858946.0,48408077.0,41199168.0,33686953.0,30119047.0,26267507.0,23472099.0,21628518.0,20902616.0,19252630.0
8,Rajasthan,68548437.0,56507188.0,44005990.0,34261862.0,25765806.0,20155602.0,15970774.0,13863859.0,11747974.0,10292648.0,10983509.0,10294090.0
9,Karnataka,61095297.0,52850562.0,44977201.0,37135714.0,29299014.0,23586772.0,19401956.0,16255368.0,14632992.0,13377599.0,13525251.0,13054754.0
10,Gujarat,60439692.0,50671017.0,41309582.0,34085799.0,26697475.0,20633350.0,16262657.0,13701551.0,11489828.0,10174989.0,9803587.0,9094748.0
11,Odisha,41974218.0,36804660.0,31659736.0,26370271.0,21944615.0,17548846.0,14645946.0,13767988.0,12491056.0,11158586.0,11378875.0,10302917.0
12,Kerala,33406061.0,31841374.0,29098518.0,25453680.0,21347375.0,16903715.0,13549118.0,11031541.0,9507050.0,7802127.0,7147673.0,6396262.0
13,Jharkhand,32988134.0,26945829.0,21843911.0,21354034.28125,17129989.125,13726086.59375,9697254.0,10279373.548387097,8999265.741935484,8107135.903225807,8132044.838709678,7690204.096774193
14,Assam,31205576.0,26655528.0,22414322.0,18041248.0,14625152.0,10837329.0,8028856.0,6694790.0,5560371.0,4636980.0,3848617.0,3289680.0
15,Punjab,27743338.0,24358999.0,20281969.0,16788915.0,13551060.0,11135069.0,9160500.0,9600236.0,8012325.0,7152811.0,6731510.0,7544790.0
16,Chhattisgarh,25545198.0,20833803.0,17614928.0,21354034.28125,17129989.125,13726086.59375,7456706.0,10279373.548387097,8999265.741935484,8107135.903225807,8132044.838709678,7690204.096774193
17,Haryana,25351462.0,21144564.0,16463648.0,12922119.0,10036431.0,7590524.0,5673597.0,5272829.0,4559917.0,4255892.0,4174677.0,4623064.0
NCT,Delhi,16787941.0,13850507.0,9420644.0,6220406.0,4065698.0,2658612.0,1744072.0,917939.0,636246.0,488452.0,413851.0,405819.0
18,Jammu & Kashmir,12541302.0,10143700.0,7837051.0,5987389.0,4616632.0,3560976.0,3253852.0,2946728.0,2670208.0,2424359.0,2292535.0,2139362.0
19,Uttarakhand,10086292.0,8489349.0,7050634.0,21354034.28125,17129989.125,13726086.59375,10852792.757575758,10279373.548387097,8999265.741935484,8107135.903225807,8132044.838709678,7690204.096774193
20,Himachal Pradesh,6864602.0,6077900.0,5170877.0,4280818.0,3460434.0,2812463.0,2385981.0,2263245.0,2029113.0,1928206.0,1896944.0,1920294.0
21,Tripura,3673917.0,3199203.0,2757205.0,2053058.0,1556342.0,1142005.0,639029.0,513010.0,382450.0,304437.0,229613.0,173325.0
22,Meghalaya,2966889.0,2318822.0,1774778.0,1335819.0,1011699.0,769380.0,605674.0,555820.0,480837.0,422403.0,394005.0,340524.0
23,Manipur,2855794.0,2293896.0,1837149.0,1420953.0,1072753.0,780037.0,577635.0,512069.0,445606.0,384016.0,346222.0,284465.0
24,Nagaland,1978502.0,1990036.0,1209546.0,774930.0,516449.0,369200.0,212975.0,189641.0,178844.0,158801.0,149038.0,101550.0
25,Goa,1458545.0,1347668.0,1169793.0,1007749.0,795120.0,589997.0,547448.0,540925.0,505281.0,469494.0,486752.0,475513.0
26,Arunachal Pradesh,1383727.0,1097968.0,864558.0,631839.0,467511.0,336558.0,10852792.757575758,10279373.548387097,8999265.741935484,8107135.903225807,8132044.838709678,7690204.096774193
UT1,Puducherry,1247953.0,974345.0,807785.0,604471.0,471707.0,369079.0,317253.0,285011.0,258628.0,244156.0,257179.0,246354.0
27,Mizoram,1097206.0,888573.0,689756.0,493757.0,332390.0,266063.0,196202.0,152786.0,124404.0,98406.0,91204.0,82434.0
UT2,Chandigarh,1055450.0,900635.0,642015.0,451610.0,257251.0,119881.0,24261.0,22574.0,19783.0,18133.0,18437.0,21967.0
28,Sikkim,610577.0,540851.0,406457.0,316385.0,209843.0,162189.0,137725.0,121520.0,109808.0,81721.0,87920.0,59014.0
UT3,A.& N.Islands,380581.0,356152.0,280661.0,188741.0,115133.0,63548.0,30971.0,33768.0,29463.0,27086.0,26459.0,24649.0
UT4,D.& N.Haveli,343709.0,220490.0,138477.0,103676.0,74170.0,57963.0,41532.0,40441.0,38260.0,31048.0,29020.0,24280.0
UT5,Daman & Diu,243247.0,158204.0,101586.0,78981.0,62651.0,36670.0,48611.0,42811.0,36429.0,31410.0,32470.0,32005.0
UT6,Lakshadweep,64473.0,60650.0,51707.0,40249.0,31810.0,24108.0,21035.0,18355.0,16040.0,13637.0,14555.0,13882.0
